range, mill, diff100m, eta
850, 1417, 4, 30.9
900, 1406, 4, 30.8
950, 1394, 4, 30.7
1000, 1383, 5, 30.7
1050, 1371, 5, 30.6
1100, 1359, 5, 30.3
1150, 1347, 6, 30.4
1200, 1335, 6, 30.3
1250, 1323, 7, 30.2
1300, 1311, 7, 30.1
1350, 1298, 7, 30.0
1400, 1285, 8, 29.9
1450, 1272, 8, 29.8
1500, 1259, 9, 29.6
1550, 1245, 9, 29.5
1600, 1231, 10, 29.4
1650, 1217, 11, 29.2
1700, 1202, 11, 29.0
1750, 1187, 12, 28.8
1800, 1172, 13, 28.7
1850, 1156, 14, 28.4
1900, 1139, 15, 28.2
1950, 1121, 17, 28.0
2000, 1103, 18, 27.7
2050, 1084, 20, 27.4
2100, 1063, 22, 27.1
2150, 1041, 25, 26.8
2200, 1017, 28, 26.4
2250, 989, 33, 25.9
2300, 958, 40, 25.4
2350, 919, 52, 24.6
2400, 857, 81, 23.4
