range, mill, diff100m, eta
1100, 36, 0, 2.8
1200, 40, 0, 3.1
1300, 43, 0, 3.3
1400, 46, 0, 3.6
1500, 50, 0, 3.9
1600, 53, 0, 4.1
1700, 56, 0, 4.4
1800, 60, 0, 4.6
1900, 63, 0, 4.9
2000, 66, 0, 5.2
2100, 70, 0, 5.4
2200, 73, 0, 5.7
2300, 76, 0, 5.9
2400, 80, -43, 6.2
2500, 83, -41, 6.5
2600, 86, -39, 6.7
2700, 90, -38, 7.0
2800, 93, -37, 7.2
2900, 96, -35, 7.5
3000, 100, -34, 7.8
3100, 103, -33, 8.0
3200, 107, -32, 8.3
3300, 110, -31, 8.5
3400, 113, -30, 8.8
3500, 117, -29, 9.1
3600, 120, -29, 9.3
3700, 123, -28, 9.6
3800, 127, -27, 9.8
3900, 130, -27, 10.1
4000, 134, -26, 10.4
4100, 137, -25, 10.6
4200, 141, -25, 10.9
4300, 144, -24, 11.2
4400, 147, -24, 11.4
4500, 151, -23, 11.7
4600, 154, -23, 12.0
4700, 158, -22, 12.2
4800, 161, -22, 12.5
4900, 165, -21, 12.8
5000, 168, -21, 13.0
5100, 172, -21, 13.3
5200, 175, -20, 13.6
5300, 179, -20, 13.8
5400, 182, -19, 14.1
5500, 186, -19, 14.4
5600, 189, -19, 14.7
5700, 193, -19, 14.9
5800, 196, -18, 15.2
5900, 200, -18, 15.5
6000, 204, -18, 15.7
6100, 207, -17, 16.0
6200, 211, -17, 16.3
6300, 214, -17, 16.6
6400, 218, -17, 16.8
6500, 222, -16, 17.1
6600, 225, -16, 17.4
6700, 229, -16, 17.7
6800, 233, -16, 18.0
6900, 236, -16, 18.2
7000, 240, -15, 18.5
7100, 244, -15, 18.8
7200, 248, -15, 19.1
7300, 251, -15, 19.4
7400, 255, -15, 19.6
7500, 259, -15, 19.9
7600, 263, -14, 20.2
7700, 266, -14, 20.5
7800, 270, -14, 20.8
7900, 274, -14, 21.1
8000, 278, -14, 21.4
8100, 282, -14, 21.7
8200, 286, -14, 21.9
8300, 290, -13, 22.2
8400, 294, -13, 22.5
8500, 297, -13, 22.8
8600, 301, -13, 23.1
8700, 305, -13, 23.4
8800, 309, -13, 23.7
8900, 313, -13, 24.0
9000, 318, -13, 24.3
9100, 322, -13, 24.6
9200, 326, -12, 24.9
9300, 330, -12, 25.2
9400, 334, -12, 25.5
9500, 338, -12, 25.8
9600, 342, -12, 26.2
9700, 343, -12, 26.5
9800, 351, -12, 26.8
9900, 355, -12, 27.1
10000, 360, -12, 27.4
10100, 364, -12, 27.7
10200, 368, -12, 28.0
10300, 373, -12, 28.4
10400, 377, -12, 28.7
10500, 382, -11, 29.0
10600, 386, -11, 29.3
10700, 391, -11, 29.7
10800, 395, -11, 30.0
10900, 400, -11, 30.3
11000, 405, -11, 30.7
11100, 409, -11, 31.0
11200, 414, -11, 31.4
11300, 419, -11, 31.7
11400, 424, -11, 32.1
11500, 429, -11, 32.4
11600, 434, -11, 32.8
11700, 439, -11, 33.1
11800, 444, -11, 33.5
11900, 449, -11, 33.8
12000, 454, -11, 34.2
12100, 460, -11, 34.6
12200, 465, -11, 35.0
12300, 471, -11, 35.3
12400, 476, -11, 35.7
12500, 482, -11, 36.1
12600, 487, -11, 36.5
12700, 493, -11, 36.9
12800, 499, -11, 37.3
12900, 505, -11, 37.7
13000, 511, -11, 38.1
13100, 517, -11, 38.6
13200, 524, -11, 39.0
13300, 530, -11, 39.4
13400, 537, -11, 39.9
13500, 543, -12, 40.3
13600, 550, -12, 40.8
13700, 557, -12, 41.3
13800, 565, -12, 41.7
13900, 572, -12, 42.2
14000, 580, -12, 42.8
14100, 588, -12, 43.3
14200, 596, -13, 43.8
14300, 605, -13, 44.4
14400, 614, -13, 45.0
14500, 624, -14, 45.6
14600, 634, -14, 46.2
14700, 644, -15, 46.9
14800, 656, -15, 47.6
14900, 668, -16, 48.4
15000, 682, -17, 49.2
15100, 697, -19, 50.1
15200, 715, -22, 51.2
15300, 738, -26, 52.5
15400, 778, -43, 54.8
