range, mill, diff100m, eta
5300, 1421, 1, 78.1
5400, 1418, 1, 78.0
5500, 1414, 1, 78.0 
5600, 1411, 1, 77.9
5700, 1407, 1, 77.9 
5800, 1404, 1, 77.8
5900, 1400, 1, 77.8
6000, 1396, 1, 77.7
6100, 1393, 1, 77.7
6200, 1389, 1, 77.6
6300, 1386, 1, 77.5
6400, 1382, 1, 77.5
6500, 1378, 1, 77.4
6600, 1375, 1, 77.4
6700, 1371, 1, 77.3
6800, 1367, 1, 77.2
6900, 1364, 1, 77.2
7000, 1360, 1, 77.1
7100, 1356, 1, 77.0
7200, 1352, 1, 77.0
7300, 1349, 1, 76.9
7400, 1345, 1, 76.8
7500, 1341, 1, 76.7
7600, 1337, 1, 76.7
7700, 1334, 1, 76.6
7800, 1330, 1, 76.5
7900, 1326, 1, 76.4
8000, 1322, 1, 76.4
8100, 1318, 1, 76.3
8200, 1314, 1, 76.2
8300, 1310, 1, 76.1
8400, 1306, 1, 76.0
8500, 1303, 1, 75.9
8600, 1299, 1, 75.8
8700, 1295, 1, 75.8
8800, 1291, 1, 75.7
8900, 1287, 1, 75.6
9000, 1282, 1, 75.5
9100, 1278, 1, 75.4
9200, 1274, 1, 75.3
9300, 1270, 1, 75.2
9400, 1266, 1, 75.1
9500, 1262, 1, 75.0
9600, 1258, 1, 74.9
9700, 1253, 1, 74.7
9800, 1249, 2, 74.6
9900, 1245, 2, 74.5
10000, 1240, 2, 74.4
10100, 1236, 2, 74.3
10200, 1232, 2, 74.2
10300, 1227, 2, 74.0
10400, 1223, 2, 73.9
10500, 1218, 2, 73.8
10600, 1214, 2, 73.7
10700, 1209, 2, 73.5
10800, 1205, 2, 73.4
10900, 1200, 2, 73.3
11000, 1195, 2, 73.1
11100, 1191, 2, 73.0
11200, 1186, 2, 72.8
11300, 1181, 2, 72.7
11400, 1176, 2, 72.5
11500, 1171, 2, 72.4
11600, 1166, 2, 72.2
11700, 1161, 2, 72.0
11800, 1156, 2, 71.9
11900, 1151, 2, 71.7
12000, 1146, 2, 71.5
12100, 1140, 3, 71.4
12200, 1135, 3, 71.2
12300, 1129, 3, 71.0
12400, 1124, 3, 70.8
12500, 1118, 3, 70.6
12600, 1113, 3, 70.4
12700, 1107, 3, 70.2
12800, 1101, 3, 70.0
12900, 1095, 3, 69.7
13000, 1089, 3, 96.5
13100, 1083, 3, 69.3
13200, 1076, 4, 69.0
13300, 1070, 4, 68.8
13400, 1063, 4, 68.5
13500, 1057, 4, 68.3
13600, 1050, 4, 68.0
13700, 1043, 4, 67.7
13800, 1035, 4, 67.4
13900, 1028, 5, 67.1
14000, 1020, 5, 66.8
14100, 1012, 5, 66.4
14200, 1004, 5, 66.1
14300, 995, 6, 65.7
14400, 986, 6, 65.3
14500, 976, 7, 64.9
14600, 966, 7, 64.4
14700, 956, 8, 64.0
14800, 944, 8, 63.4
14900, 932, 9, 62.8
15000, 918, 11, 62.2
15100, 903, 12, 61.4
15200, 885, 15, 60.6
15300, 862, 20, 59.4
15400, 822, 37, 57.3
