range, mill, diff100m, eta
4700, 36, 0, 5.8
4800, 37, 0, 5.9
4900, 37, 0, 6.1
5000, 38, 0, 6.2
5100, 39, 0, 6.3
5200, 40, 0, 6.4
5300, 40, 0, 6.5
5400, 41, 0, 6.7
5500, 42, 0, 6.8
5600, 43, 0, 6.9
5700, 43, 0, 7.0
5800, 44, 0, 7.2
5900, 45, 0, 7.3
6000, 46, 0, 7.4
6100, 46, 0, 7.5
6200, 47, 0, 7.7
6300, 48, 0, 7.8
6400, 49, 0, 7.9
6500, 50, 0, 8.0
6600, 50, 0, 8.2
6700, 51, -15, 8.3
6800, 52, -15, 8.4
6900, 53, -15, 8.5
7000, 53, -15, 8.7
7100, 51, -14, 8.8
7200, 55, -14, 8.9
7300, 56, -14, 9.0
7400, 56, -14, 9.1
7500, 57, -14, 9.3
7600, 58, -13, 9.4
7700, 59, -13, 9.5
7800, 60, -13, 9.6
7900, 60, -13, 9.8
8000, 61, -13, 9.9
8100, 62, -13, 10.0
8200, 63, -12, 10.1
8300, 63, -12, 10.3
8400, 64, -12, 10.4
8500, 65, -12, 10.5
8600, 66, -12, 10.6
8700, 66, -12, 10.8
8800, 67, -12, 10.9
8900, 68, -11, 11.0
9000, 69, -11, 11.1
9100, 69, -11, 11.3
9200, 70, -11, 11.4
9300, 71, -11, 11.5
9400, 72, -11, 11.6
9500, 73, -11, 11.8
9600, 73, -11, 11.9
9700, 74, -11, 12.0
9800, 75, -10, 12.1
9900, 76, -10, 12.3
10000, 76, -10, 12.4
10100, 77, -10, 12.5
10200, 78, -10, 12.6
10300, 79, -10, 12.8
10400, 79, -10, 12.9
10500, 80, -10, 13.0
10600, 81, -10, 13.1
10700, 82, -10, 13.3
10800, 83, -9, 13.4
10900, 83, -9, 13.5
11000, 84, -9, 13.6
11100, 85, -9, 13.8
11200, 86, -9, 13.9
11300, 86, -9, 14.0
11400, 87, -9, 14.1
11500, 88, -9, 14.3
11600, 89, -9, 14.4
11700, 90, -9, 14.5
11800, 90, -9, 14.5
11900, 91, -9, 14.8
12000, 92, -9, 14.9
12100, 93, -8, 15.0
12200, 93, -8, 15.1
12300, 94, -8, 15.3
12400, 95, -8, 15.4
12500, 96, -8, 15.5
12600, 96, -8, 15.6
12700, 97, -8, 15.8
12800, 98, -8, 15.9
12900, 99, -8, 16.0
13000, 100, -8, 16.1
13100, 100, -8, 16.3
13200, 101, -8, 16.4
13300, 102, -8, 16.5
13400, 103, -8, 16.6
13500, 103, -8, 16.8
13600, 104, -8, 16.9
13700, 105, -8, 17.0
13800, 106, -7, 17.1
13900, 107, -7, 17.3
14000, 107, -7, 17.4
14100, 108, -7, 17.5
14200, 109, -7, 17.6
14300, 110, -7, 17.8
14400, 110, -7, 17.9
14500, 111, -7, 18.0
14600, 112, -7, 18.1
14700, 113, -7, 18.3
14800, 114, -7, 18.4
14900, 114, -7, 18.5
15000, 115, -7, 18.6
15100, 116, -7, 18.8
15200, 117, -7, 18.9
15300, 118, -7, 19.0
15400, 118, -7, 19.1
15500, 119, -7, 19.3
15600, 120, -7, 19.4
15700, 121, -7, 19.5
15800, 121, -7, 19.6
15900, 122, -7, 19.8
16000, 123, -6, 19.9
16100, 124, -6, 20.0
16200, 125, -6, 20.2
16300, 125, -6, 20.3
16400, 126, -6, 20.4
16500, 127, -6, 20.5
16600, 128, -6, 20.7
16700, 128, -6, 20.8
