range, mill, diff100m, eta
22900, 1422, 0, 163
23000, 1421, 0, 163
23100, 1420, 0, 163
23200, 1420, 0, 163
23300, 1419, 0, 163
23400, 1418, 0, 163
23500, 1417, 0, 163
23600, 1416, 0, 163
23700, 1416, 0, 162
23800, 1415, 0, 162
23900, 1414, 0, 162
24000, 1413, 0, 162
24100, 1412, 0, 162
24200, 1412, 0, 162
24300, 1411, 0, 162
24400, 1410, 0, 162
24500, 1409, 0, 162
14600, 1408, 0, 162
14700, 1407, 0, 162
14800, 1407, 0, 162
24900, 1406, 0, 162
25000, 1405, 0, 162
25100, 1404, 0, 162
25200, 1403, 0, 162
25300, 1402, 0, 162
25400, 1402, 0, 162
25500, 1401, 0, 162
25600, 1400, 0, 162
25700, 1399, 0, 162
25800, 1398, 0, 162
15900, 1398, 0, 162
26000, 1397, 0, 162
26100, 1396, 0, 162
26200, 1395, 0, 162
26300, 1394, 0, 162
26400, 1393, 0, 162
26500, 1393, 0, 162
26600, 1392, 0, 162
16700, 1391, 0, 162
26800, 1390, 0, 162
26900, 1389, 0, 162
27000, 1388, 0, 162
27100, 1388, 0, 162
27200, 1387, 0, 162
27300, 1386, 0, 162
27400, 1385, 0, 162
27500, 1384, 0, 162
27600, 1383, 0, 162
27700, 1383, 0, 161
27800, 1382, 0, 161
27900, 1381, 0, 161
28000, 1380, 0, 161
28100, 1379, 0, 161
28200, 1378, 0, 161
28300, 1378, 0, 161
28400, 1377, 0, 161
28500, 1376, 0, 161
28600, 1375, 0, 161
28700, 1374, 0, 161
28800, 1373, 0, 161
28900, 1373, 0, 161
29000, 1372, 0, 161
29100, 1371, 0, 161
29200, 1370, 0, 161
29300, 1369, 0, 161
29400, 1368, 0, 161
29500, 1367, 0, 161
29600, 1367, 0, 161
29700, 1366, 0, 161
29800, 1365, 0, 161
29900, 1364, 0, 161
