range, mill, diff100m, eta
3000, 36, 0, 4.6
3100, 37, 0, 4.8
3200, 38, 0, 4.9
3300, 39, 0, 5.1
3400, 40, 0, 5.3
3500, 42, 0, 5.4
3600, 43, 0, 5.6
3700, 44, 0, 5.7
3800, 45, 0, 5.9
3900, 46, 0, 6.0
4000, 48, 0, 6.2
4100, 49, 0, 6.3
4200, 50, 0, 6.5
4300, 51, 0, 6.6
4400, 52, 0, 6.8
4500, 54, 0, 7.0
4600, 55, 0, 7.1
4700, 56, 0, 7.3
4800, 57, -21, 7.4
4900, 58, -21, 7.6
5000, 60, -20, 7.7
5100, 61, -20, 7.9
5200, 62, -20, 8.0
5300, 63, -19, 8.2
5400, 64, -19, 8.4
5500, 66, -19, 8.5
5600, 67, -18, 8.7
5700, 68, -18, 8.8
5800, 69, -18, 9.0
5900, 70, -17, 9.1
6000, 72, -17, 9.3
6100, 73, -17, 9.4
6200, 74, -17, 9.6
6300, 75, -16, 9.7
6400, 76, -16, 9.9
6500, 78, -16, 10.1
6600, 79, -16, 10.2
6700, 80, -15, 10.4
6800, 81, -15, 10.5
6900, 82, -15, 10.7
7000, 84, -15, 10.8
7100, 85, -14, 11.0
7200, 86, -14, 11.2
7400, 88, -14, 11.5
7500, 90, -14, 11.6
7600, 91, -14, 11.8
7700, 92, -13, 11.9
7800, 93, -13, 12.1
7900, 95, -13, 12.2
8000, 96, -13, 12.4
8100, 97, -13, 12.6
8200, 98, -13, 12.7
8300, 99, -12, 12.9
8400, 101, -12, 13.0
8500, 102, -12, 13.2
8600, 103, -12, 13.3
8700, 104, -12, 13.5
8800, 105, -12, 13.7
8900, 107, -12, 13.8
9000, 108, -11, 14.0
9100, 109, -11, 14.1
9200, 110, -11, 14.3
9300, 112, -11, 14.4
9400, 113, -11, 14.6
9500, 114, -11, 14.8
9600, 115, -11, 14.9
9700, 116, -11, 15.1
9800, 118, -11, 15.2
9900, 119, -10, 15.4
10000, 120, -10, 15.5
10100, 121, -10, 15.7
10200, 122, -10, 15.9
10300, 124, -10, 16.0
10400, 125, -10, 16.2
10500, 126, -10, 16.3
10600, 127, -10, 16.5
10700, 126, -10, 16.6
10800, 130, -10, 16.8
10900, 131, -10, 17.0
11000, 132, -9, 17.1
11100, 134, -9, 17.3
11200, 135, -9, 17.4
11300, 136, -9, 17.6
11400, 137, -9, 17.8
11500, 138, -9, 17.9
11600, 140, -9, 18.1
11700, 141, -9, 18.2
11800, 142, -9, 18.4
11900, 143, -9, 18.5
12000, 145, -9, 18.7
12100, 146, -9, 18.9
12200, 147, -9, 19.0
12300, 148, -8, 19.2
12400, 150, -8, 19.3
12500, 151, -8, 19.5
12600, 152, -8, 19.7
12700, 153, -8, 19.8
12800, 155, -8, 20.0
12900, 156, -8, 20.1
13000, 157, -8, 20.3
13100, 158, -8, 20.5
13200, 160, -8, 20.6
13300, 161, -8, 20.8
13400, 162, -8, 20.9
13500, 163, -8, 21.1
13600, 165, -8, 21.3
13700, 166, -8, 21.4
13800, 167, -8, 21.6
13900, 168, -8, 21.7
14000, 170, -7, 21.9
14100, 171, -7, 22.1
14200, 172, -7, 22.2
14300, 173, -7, 22.4
14400, 175, -7, 22.6
14500, 176, -7, 22.7
14600, 177, -7, 22.9
14700, 178, -7, 23.0
14800, 180, -7, 23.2
14900, 181, -7, 23.4
15000, 182, -7, 23.5
15100, 184, -7, 23.7
15200, 185, -7, 23.8
15300, 186, -7, 24.0
15400, 187, -7, 24.2
15500, 189, -7, 24.3
15600, 190, -7, 24.5
15700, 191, -7, 24.7
15800, 192, -7, 24.8
15900, 194, -7, 25.0
16000, 165, -7, 25.2
16100, 196, -7, 25.3
16200, 198, -7, 25.5
19300, 199, -7, 25.6
16400, 200, -6, 25.8
16500, 201, -6, 26.0
16600, 203, -6, 26.1
16700, 204, -6, 26.3
16800, 205, -6, 26.5
16900, 207, -6, 26.6
17000, 208, -6, 26.8
17100, 209, -6, 27.0
17200, 211, -6, 27.1
17300, 212, -6, 27.3
17400, 213, -6, 27.5
17500, 214, -6, 27.6
17600, 216, -6, 27.8
17700, 217, -6, 27.9
17800, 218, -6, 28.1
17900, 220, -6, 28.3
18000, 221, -6, 28.4
18100, 222, -6, 28.6
18200, 224, -6, 28.8
18300, 225, -6, 28.9
18400, 226, -6, 29.1
18500, 228, -6, 29.3
18600, 229, -6, 29.4
18700, 230, -6, 29.6
18800, 232, -6, 29.8
18900, 233, -6, 29.9
19000, 234, -6, 30.1
19100, 235, -6, 30.3
19200, 237, -6, 30.4
19300, 238, -6, 30.6
19400, 239, -6, 30.8
19500, 241, -6, 31.0
19600, 242, -6, 31.1
19700, 243, -5, 31.3
19800, 245, -5, 31.5
19900, 246, -5, 31.6
20000, 248, -5, 31.8
20100, 249, -5, 32.0
20200, 250, -5, 32.1
20300, 252, -5, 32.3
20400, 235, -5, 32.5
20500, 254, -5, 32.6
20600, 256, -5, 32.8
20700, 257, -5, 33.0
20800, 258, -5, 33.2
20900, 260, -5, 33.3
21000, 261, -5, 33.5
21100, 262, -5, 33.7
21200, 264, -5, 33.8
21300, 265, -5, 34.0
21400, 267, -5, 34.2
21500, 268, -5, 34.4
21600, 269, -5, 34.5
21700, 271, -5, 34.7
21800, 272, -5, 34.9
21900, 273, -5, 35.1
22000, 275, -5, 35.2
22100, 276, -5, 35.4
22200, 278, -5, 35.6
22300, 279, -5, 35.7
22400, 280, -5, 35.9
22500, 282, -5, 36.1
22600, 283, -5, 36.3
22700, 285, -5, 36.4
22800, 286, -5, 36.6
22900, 287, -5, 36.8
23000, 289, -5, 37.0
23100, 290, -5, 37.1
23200, 292, -5, 37.3
23300, 293, -5, 37.5
23400, 294, -5, 37.7
23500, 296, -5, 37.9
23600, 297, -5, 38.0
23700, 299, -5, 38.2
23800, 300, -5, 38.4
23900, 302, -5, 38.6
24000, 303, -5, 38.7
24100, 304, -5, 38.9
24200, 306, -5, 39.1
24300, 307, -5, 39.3
24400, 309, -5, 39.5
24500, 310, -5, 39.6
24600, 312, -5, 39.8
24700, 313, -5, 40.0
24800, 315, -5, 40.2
24900, 316, -5, 40.4
25000, 318, -5, 40.5
25100, 319, -5, 40.7
25200, 320, -5, 40.9
25300, 322, -5, 41.1
25400, 323, -4, 41.3
25500, 325, -4, 41.4
25600, 326, -4, 41.6
25700, 328, -4, 41.8
25800, 329, -4, 42.0
25900, 331, -4, 42.2
26000, 332, -4, 42.4
26100, 334, -4, 42.5
26200, 335, -4, 42.7
26300, 337, -4, 42.9
26400, 338, -4, 43.1
26500, 340, -4, 43.3
26600, 341, -4, 43.5
26700, 343, -4, 43.7
26800, 344, -4, 43.8
26900, 346, -4, 44.0
27000, 347, -4, 44.2
27100, 349, -4, 44.4
27200, 351, -4, 44.6
27300, 352, -4, 44.8
27400, 354, -4, 45.0
27500, 355, -4, 45.2
27600, 357, -4, 45.3
27700, 358, -4, 45.5
27800, 360, -4, 45.7
27900, 361, -4, 45.9
28000, 363, -4, 46.1
28100, 365, -4, 46.3
28200, 366, -4, 46.5
28300, 368, -4, 46.7
28400, 369, -4, 46.9
28500, 371, -4, 47.1
28600, 373, -4, 47.3
28700, 374, -4, 47.5
28800, 376, -4, 47.6
28900, 377, -4, 47.8
29000, 379, -4, 48.0
29100, 381, -4, 48.2
29200, 382, -4, 48.4
29300, 384, -4, 48.6
29400, 385, -4, 48.8
29500, 387, -4, 49.0
29600, 389, -4, 49.2
26700, 390, -4, 49.4
29800, 392, -4, 49.6
29900, 394, -4, 49.8

