range, mill, diff100m, eta
2100, 1419, 2, 48.8
2200, 1410, 2, 48.7
2300, 1400, 2, 48.6
2400, 1391, 2, 48.5
2500, 1382, 2, 48.4
2600, 1373, 2, 48.3
2700, 1363, 2, 48.2
2800, 1354, 2, 48.1
2900, 1344, 2, 48.0
3000, 1334, 3, 47.9
3100, 1325, 3, 47.8
3200, 1315, 3, 47.6
3300, 1305, 3, 47.5
3400, 1294, 3, 47.3
3500, 1284, 3, 47.2
3600, 1274, 3, 47.0
3700, 1263, 4, 46.9
3800, 1252, 4, 46.7
3900, 1241, 4, 46.5
4000, 1230, 4, 46.3
4100, 1219, 4, 46.1
4200, 1207, 5, 45.9
4300, 1195, 5, 45.7
4400, 1183, 5, 45.5
4500, 1170, 6, 45.2
4600, 1157, 6, 44.9
4700, 1144, 6, 44.7
4800, 1130, 7, 44.4
4900, 1116, 7, 44.1
5000, 1101, 8, 43.7
5100, 1085, 8, 43.4
5200, 1069, 9, 43.0
5300, 1052, 10, 42.6
5400, 1033, 11, 42.1
5500, 1013, 13, 41.6
5600, 992, 14, 41.0
5700, 967, 17, 40.3
5800, 939, 21, 39.5
5900, 902, 28, 38.4
6000, 843, 52, 36.5
